"","Signature","Gene"
"1","Wouters Intermediate cell state","NELL1"
"2","Wouters Intermediate cell state","LRRC61"
"3","Wouters Intermediate cell state","ITIH6"
"4","Wouters Intermediate cell state","ZBED6CL"
"5","Wouters Intermediate cell state","ENPP4"
"6","Wouters Intermediate cell state","CSPG4"
"7","Wouters Intermediate cell state","ZNF702P"
"8","Wouters Intermediate cell state","EBF3"
"9","Wouters Intermediate cell state","IFITM1"
"10","Wouters Intermediate cell state","SH2D4A"
"11","Wouters Intermediate cell state","LRRTM4"
"12","Wouters Intermediate cell state","SFRP1"
"13","Wouters Intermediate cell state","RP11-141M1.3"
"14","Wouters Intermediate cell state","HLA-DRA"
"15","Wouters Intermediate cell state","XAF1"
"16","Wouters Intermediate cell state","MAP10"
"17","Wouters Intermediate cell state","ZNF662"
"18","Wouters Intermediate cell state","DDX43"
"19","Wouters Intermediate cell state","AC095067.1"
"20","Wouters Intermediate cell state","TF"
"21","Wouters Intermediate cell state","ACAN"
"22","Wouters Intermediate cell state","SLC38A1"
"23","Wouters Intermediate cell state","RP11-474O21.5"
"24","Wouters Intermediate cell state","SLC9A7"
"25","Wouters Intermediate cell state","CARD16"
"26","Wouters Intermediate cell state","MT1A"
"27","Wouters Intermediate cell state","TM4SF1"
"28","Wouters Intermediate cell state","ZFP3"
"29","Wouters Intermediate cell state","IFITM3"
"30","Wouters Intermediate cell state","CCDC8"
"31","Wouters Intermediate cell state","RAMP1"
"32","Wouters Intermediate cell state","ZNF385D"
"33","Wouters Intermediate cell state","PDE1C"
"34","Wouters Intermediate cell state","SERPINA3"
"35","Wouters Intermediate cell state","SLC17A9"
"36","Wouters Intermediate cell state","RP11-267A15.1"
"37","Wouters Intermediate cell state","IFI44L"
"38","Wouters Intermediate cell state","CX3CL1"
"39","Wouters Intermediate cell state","APOBEC3G"
"40","Wouters Intermediate cell state","LINC00890"
"41","Wouters Intermediate cell state","BST2"
"42","Wouters Intermediate cell state","FAM109B"
"43","Wouters Intermediate cell state","OPCML"
"44","Wouters Intermediate cell state","RP11-574H6.1"
"45","Wouters Intermediate cell state","GALC"
"46","Wouters Intermediate cell state","VSTM2B"
"47","Wouters Intermediate cell state","KCNMA1"
"48","Wouters Intermediate cell state","SLAMF9"
"49","Wouters Intermediate cell state","ISLR"
"50","Wouters Intermediate cell state","MGP"
"51","Wouters Intermediate cell state","CFI"
"52","Wouters Intermediate cell state","AXL"
"53","Wouters Intermediate cell state","NAALADL1"
"54","Wouters Intermediate cell state","HCN1"
"55","Wouters Intermediate cell state","TRIM48"
"56","Wouters Intermediate cell state","SH3GL2"
"57","Wouters Intermediate cell state","THBS1"
"58","Wouters Intermediate cell state","FXYD3"
"59","Wouters Intermediate cell state","RP11-399D6.2"
"60","Wouters Intermediate cell state","MEST"
"61","Wouters Intermediate cell state","KRT27"
"62","Wouters Intermediate cell state","CDCP1"
"63","Wouters Intermediate cell state","NGFR"
"64","Wouters Intermediate cell state","FREM1"
"65","Wouters Intermediate cell state","ASB11"
"66","Wouters Intermediate cell state","DNASE2B"
"67","Wouters Intermediate cell state","LOXL3"
"68","Wouters Intermediate cell state","ANKRD18A"
"69","Wouters Intermediate cell state","VIT"
"70","Wouters Intermediate cell state","COL1A2"
"71","Wouters Intermediate cell state","TNFAIP6"
"72","Wouters Intermediate cell state","OLIG2"
"73","Wouters Intermediate cell state","LRRC15"
"74","Wouters Intermediate cell state","POMC"
"75","Wouters Intermediate cell state","MATN2"
"76","Wouters Intermediate cell state","ADAMTS9"
"77","Wouters Intermediate cell state","S100A3"
